source_file,consensus_timestamp,to_address_hex,payer_account,csv_error,sender,receiver,result_data,result,transaction_id,lookup_source,child_error
direct_calls,1779084020295857820,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779084014-916673048",mirror,
direct_calls,1779084009356853000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779084002-003538184",mirror,
direct_calls,1779083996440357000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083992-069845690",mirror,
direct_calls,1779083984944302719,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083980-017220519",mirror,
direct_calls,1779083973765289871,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083965-651219350",mirror,
direct_calls,1779083961922742000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083955-625311192",mirror,
direct_calls,1779083950450942000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083945-695029350",mirror,
direct_calls,1779083939039846000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083934-803147322",mirror,
direct_calls,1779083927720552950,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083921-470969535",mirror,
direct_calls,1779083916165054000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083910-765054976",mirror,
direct_calls,1779083904611262000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083897-612063046",mirror,
direct_calls,1779083893040152000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083885-073663933",mirror,
direct_calls,1779083881970016000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083877-398403986",mirror,
direct_calls,1779083870265029000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083865-162632963",mirror,
direct_calls,1779083858724893000,359,995584,INVALID_OPERATION,10474332,,,"CONTRACT_EXECUTION_EXCEPTION","0.0.995584-1779083851-108826180",mirror,
